1,DEV-0015,POWER_FAILURE,3,0,2026-06-10 21:00:00+08:00
2,DEV-0002,IMAGE_BLUR,1,0,2026-03-29 22:00:00+08:00
3,DEV-0006,NETWORK_OFFLINE,1,1,2026-06-02 17:00:00+08:00
4,DEV-0085,STORAGE_FULL,5,1,2026-04-06 12:00:00+08:00
5,DEV-0106,POWER_FAILURE,4,1,2026-05-23 16:00:00+08:00
6,DEV-0045,SENSOR_ERROR,2,0,2026-04-28 21:00:00+08:00
7,DEV-0003,LENS_DIRTY,3,1,2026-04-10 06:00:00+08:00
8,DEV-0075,STORAGE_FULL,4,0,2026-05-28 18:00:00+08:00
9,DEV-0039,SENSOR_ERROR,4,1,2026-06-06 07:00:00+08:00
10,DEV-0032,CPU_SPIKE,4,0,2026-03-25 20:00:00+08:00
11,DEV-0023,SIGNAL_WEAK,2,1,2026-05-12 02:00:00+08:00
12,DEV-0075,OVERHEAT,4,0,2026-05-26 10:00:00+08:00
13,DEV-0061,STORAGE_FULL,1,1,2026-03-27 07:00:00+08:00
14,DEV-0084,POWER_FAILURE,2,1,2026-06-04 04:00:00+08:00
15,DEV-0036,SIGNAL_WEAK,3,1,2026-04-04 15:00:00+08:00
16,DEV-0103,SENSOR_ERROR,3,1,2026-05-18 01:00:00+08:00
17,DEV-0043,LENS_DIRTY,2,1,2026-04-18 05:00:00+08:00
18,DEV-0111,SIGNAL_WEAK,3,0,2026-03-29 15:00:00+08:00
19,DEV-0074,SIGNAL_WEAK,1,1,2026-05-29 23:00:00+08:00
20,DEV-0027,STORAGE_FULL,2,1,2026-03-28 03:00:00+08:00
21,DEV-0058,NETWORK_OFFLINE,3,1,2026-05-24 20:00:00+08:00
22,DEV-0041,CPU_SPIKE,1,0,2026-05-24 06:00:00+08:00
23,DEV-0086,CPU_SPIKE,4,0,2026-04-25 04:00:00+08:00
24,DEV-0017,OVERHEAT,3,0,2026-03-25 23:00:00+08:00
25,DEV-0115,LENS_DIRTY,4,0,2026-05-07 05:00:00+08:00
26,DEV-0042,SENSOR_ERROR,1,0,2026-04-17 08:00:00+08:00
27,DEV-0076,LENS_DIRTY,4,0,2026-05-13 22:00:00+08:00
28,DEV-0008,OVERHEAT,5,0,2026-05-16 18:00:00+08:00
29,DEV-0038,LENS_DIRTY,4,1,2026-06-17 13:00:00+08:00
30,DEV-0008,LENS_DIRTY,3,0,2026-05-10 22:00:00+08:00
31,DEV-0072,SENSOR_ERROR,1,1,2026-03-24 10:00:00+08:00
32,DEV-0092,SIGNAL_WEAK,5,1,2026-06-05 06:00:00+08:00
33,DEV-0024,NETWORK_OFFLINE,5,1,2026-03-24 02:00:00+08:00
34,DEV-0019,OVERHEAT,4,1,2026-05-12 03:00:00+08:00
35,DEV-0104,OVERHEAT,2,1,2026-04-05 18:00:00+08:00
36,DEV-0036,SIGNAL_WEAK,1,0,2026-05-19 00:00:00+08:00
37,DEV-0103,SIGNAL_WEAK,4,1,2026-04-24 08:00:00+08:00
38,DEV-0039,NETWORK_OFFLINE,3,0,2026-03-31 00:00:00+08:00
39,DEV-0004,SIGNAL_WEAK,3,1,2026-04-19 20:00:00+08:00
40,DEV-0102,LENS_DIRTY,5,1,2026-03-28 20:00:00+08:00
41,DEV-0078,CPU_SPIKE,1,1,2026-04-01 05:00:00+08:00
42,DEV-0063,OVERHEAT,5,1,2026-04-18 01:00:00+08:00
43,DEV-0042,IMAGE_BLUR,5,1,2026-05-11 23:00:00+08:00
44,DEV-0083,NETWORK_OFFLINE,3,1,2026-05-16 06:00:00+08:00
45,DEV-0036,CPU_SPIKE,1,0,2026-05-16 17:00:00+08:00
46,DEV-0103,CPU_SPIKE,2,0,2026-05-04 05:00:00+08:00
47,DEV-0119,SIGNAL_WEAK,1,1,2026-04-01 14:00:00+08:00
48,DEV-0087,IMAGE_BLUR,3,1,2026-04-05 18:00:00+08:00
49,DEV-0046,POWER_FAILURE,2,1,2026-04-02 23:00:00+08:00
50,DEV-0099,CPU_SPIKE,1,1,2026-05-10 23:00:00+08:00
51,DEV-0102,NETWORK_OFFLINE,5,0,2026-05-02 00:00:00+08:00
52,DEV-0009,STORAGE_FULL,2,0,2026-05-26 12:00:00+08:00
53,DEV-0052,NETWORK_OFFLINE,5,1,2026-04-26 15:00:00+08:00
54,DEV-0086,SENSOR_ERROR,5,1,2026-05-19 06:00:00+08:00
55,DEV-0068,SIGNAL_WEAK,2,0,2026-05-07 11:00:00+08:00
56,DEV-0046,STORAGE_FULL,1,1,2026-06-16 17:00:00+08:00
57,DEV-0031,NETWORK_OFFLINE,1,0,2026-04-15 08:00:00+08:00
58,DEV-0052,POWER_FAILURE,5,1,2026-04-04 18:00:00+08:00
59,DEV-0107,STORAGE_FULL,1,0,2026-05-15 20:00:00+08:00
60,DEV-0009,OVERHEAT,4,0,2026-04-28 06:00:00+08:00
61,DEV-0043,IMAGE_BLUR,1,0,2026-04-06 15:00:00+08:00
62,DEV-0034,SIGNAL_WEAK,4,1,2026-06-08 03:00:00+08:00
63,DEV-0015,SIGNAL_WEAK,1,0,2026-06-03 16:00:00+08:00
64,DEV-0117,IMAGE_BLUR,5,0,2026-06-03 05:00:00+08:00
65,DEV-0074,SIGNAL_WEAK,5,0,2026-05-01 06:00:00+08:00
66,DEV-0045,STORAGE_FULL,2,1,2026-05-16 06:00:00+08:00
67,DEV-0042,POWER_FAILURE,5,0,2026-05-26 18:00:00+08:00
68,DEV-0118,IMAGE_BLUR,1,0,2026-04-20 00:00:00+08:00
69,DEV-0088,STORAGE_FULL,4,0,2026-05-02 11:00:00+08:00
70,DEV-0054,NETWORK_OFFLINE,4,0,2026-06-12 11:00:00+08:00
71,DEV-0034,NETWORK_OFFLINE,5,1,2026-05-31 18:00:00+08:00
72,DEV-0094,OVERHEAT,5,0,2026-06-08 23:00:00+08:00
73,DEV-0101,SIGNAL_WEAK,3,0,2026-06-17 04:00:00+08:00
