1,DEV-0077,59.78,58.83,62.83,13.94,63.11,87.63,2026-05-27 00:00:00+08:00
2,DEV-0035,70.23,40.33,36.12,49.09,12.7,88.06,2026-06-08 23:00:00+08:00
3,DEV-0060,27.23,27.09,28.95,58.19,91.06,73.45,2026-06-07 07:00:00+08:00
4,DEV-0068,83.65,21.88,28.65,61.59,11.9,74.9,2026-05-20 23:00:00+08:00
5,DEV-0072,63.42,38.62,55.93,38.46,77.35,63.16,2026-05-24 03:00:00+08:00
6,DEV-0038,33.12,11.93,40.67,16.32,16.21,68.4,2026-06-13 13:00:00+08:00
7,DEV-0073,83.27,68.6,89.72,17.26,13.68,92.6,2026-05-23 12:00:00+08:00
8,DEV-0047,24.04,23.35,88.3,30.12,66.16,87.79,2026-06-12 22:00:00+08:00
9,DEV-0112,94.36,46.47,39.54,38.34,70.38,99.31,2026-06-14 22:00:00+08:00
10,DEV-0078,29.85,27.59,89.43,11.39,20.06,87.09,2026-06-12 05:00:00+08:00
11,DEV-0027,36.6,38.6,42.09,67.79,33.78,76.39,2026-06-13 09:00:00+08:00
12,DEV-0005,68.58,85.66,28.54,72.54,87.75,89.21,2026-06-16 20:00:00+08:00
13,DEV-0031,5.02,46.34,88.27,55.31,84.57,61.29,2026-06-04 11:00:00+08:00
14,DEV-0094,14.37,33.81,42.77,61.07,3.49,88.6,2026-06-11 00:00:00+08:00
15,DEV-0055,61.04,87.45,80.93,36.62,73.72,85.19,2026-06-08 02:00:00+08:00
16,DEV-0105,46.0,82.92,42.54,13.39,108.0,86.11,2026-05-21 19:00:00+08:00
17,DEV-0005,65.13,49.72,59.35,78.19,104.63,67.05,2026-06-12 23:00:00+08:00
18,DEV-0016,15.71,30.8,45.79,35.74,14.7,65.03,2026-06-17 17:00:00+08:00
19,DEV-0043,90.86,44.96,59.8,24.81,27.27,87.62,2026-06-16 19:00:00+08:00
20,DEV-0004,92.01,56.15,38.9,31.49,11.48,82.18,2026-05-26 11:00:00+08:00
21,DEV-0106,9.71,82.92,91.96,40.12,92.51,69.82,2026-06-15 18:00:00+08:00
22,DEV-0030,33.04,20.58,68.38,63.18,14.38,95.92,2026-05-25 18:00:00+08:00
23,DEV-0024,6.1,68.3,27.87,76.48,98.84,87.41,2026-06-14 15:00:00+08:00
24,DEV-0024,8.62,89.47,59.2,20.82,41.18,61.79,2026-06-06 17:00:00+08:00
25,DEV-0090,53.94,10.89,54.38,63.35,39.73,94.39,2026-05-24 13:00:00+08:00
26,DEV-0038,11.81,52.13,94.36,15.73,91.03,61.0,2026-06-13 02:00:00+08:00
27,DEV-0066,46.53,78.68,92.73,36.46,82.76,69.51,2026-06-04 08:00:00+08:00
28,DEV-0095,87.6,35.66,67.94,37.38,43.2,63.55,2026-05-21 15:00:00+08:00
29,DEV-0052,81.29,58.57,67.52,70.06,68.9,76.65,2026-06-12 14:00:00+08:00
30,DEV-0025,45.36,89.21,88.33,65.04,86.2,95.36,2026-05-30 19:00:00+08:00
31,DEV-0114,31.14,56.25,52.93,50.35,68.43,71.41,2026-06-12 21:00:00+08:00
32,DEV-0020,52.69,59.64,82.78,38.8,49.56,93.57,2026-05-24 21:00:00+08:00
33,DEV-0090,33.33,44.1,60.82,46.33,43.65,80.12,2026-06-11 13:00:00+08:00
34,DEV-0026,51.56,13.54,85.23,20.87,72.67,67.95,2026-05-31 09:00:00+08:00
35,DEV-0042,79.7,32.1,79.71,59.02,45.95,72.51,2026-06-11 07:00:00+08:00
36,DEV-0013,5.61,10.28,70.05,53.63,102.95,76.71,2026-05-27 08:00:00+08:00
37,DEV-0006,65.4,39.72,77.36,63.82,36.06,98.32,2026-06-17 18:00:00+08:00
38,DEV-0002,51.68,50.55,45.54,41.82,6.87,68.5,2026-06-13 05:00:00+08:00
39,DEV-0070,31.21,72.05,37.62,17.72,12.29,60.5,2026-06-17 23:00:00+08:00
40,DEV-0083,85.27,39.62,65.99,32.74,117.07,95.18,2026-05-20 06:00:00+08:00
41,DEV-0026,87.92,34.83,90.81,65.48,107.52,79.64,2026-05-21 22:00:00+08:00
42,DEV-0065,41.18,61.74,29.14,69.83,98.58,93.64,2026-05-21 23:00:00+08:00
43,DEV-0014,76.37,31.44,31.37,72.18,115.56,70.78,2026-06-01 00:00:00+08:00
44,DEV-0039,6.4,41.06,61.44,37.63,119.18,89.27,2026-06-03 02:00:00+08:00
45,DEV-0034,87.71,77.95,76.69,40.15,12.64,63.26,2026-06-06 08:00:00+08:00
46,DEV-0055,42.27,52.47,66.03,20.79,89.99,69.91,2026-05-31 15:00:00+08:00
47,DEV-0111,94.04,73.1,26.63,12.9,25.7,64.01,2026-06-07 17:00:00+08:00
48,DEV-0013,83.23,45.83,59.55,29.97,98.62,75.04,2026-06-08 08:00:00+08:00
49,DEV-0105,90.07,14.25,78.95,44.43,67.33,91.59,2026-06-15 07:00:00+08:00
50,DEV-0090,45.03,50.55,70.81,13.92,47.64,84.34,2026-05-26 16:00:00+08:00
51,DEV-0097,13.86,16.95,36.47,65.72,79.27,82.64,2026-06-17 15:00:00+08:00
52,DEV-0077,65.75,44.94,39.92,52.56,45.75,69.36,2026-05-20 21:00:00+08:00
53,DEV-0019,77.07,79.2,47.99,42.29,29.55,67.87,2026-05-20 18:00:00+08:00
54,DEV-0009,33.16,27.95,38.89,78.04,97.75,87.73,2026-05-24 13:00:00+08:00
55,DEV-0059,9.65,38.24,45.26,58.9,62.17,90.28,2026-06-05 23:00:00+08:00
56,DEV-0015,24.46,58.66,49.01,31.15,94.68,65.52,2026-06-03 09:00:00+08:00
57,DEV-0034,57.32,48.5,89.27,18.2,10.41,81.47,2026-05-21 11:00:00+08:00
58,DEV-0094,17.5,69.97,32.9,30.21,3.48,74.64,2026-05-29 22:00:00+08:00
59,DEV-0002,72.62,70.38,35.67,48.36,109.59,79.89,2026-05-24 01:00:00+08:00
60,DEV-0114,33.36,29.49,72.16,17.33,80.12,88.72,2026-06-01 19:00:00+08:00
61,DEV-0084,78.05,23.47,82.91,57.08,72.82,91.22,2026-06-13 16:00:00+08:00
62,DEV-0024,36.0,48.65,29.03,57.29,3.0,61.35,2026-06-07 00:00:00+08:00
63,DEV-0048,40.41,87.34,71.42,42.93,24.18,88.54,2026-06-03 09:00:00+08:00
64,DEV-0118,69.08,16.8,51.09,43.68,38.01,61.49,2026-05-26 14:00:00+08:00
65,DEV-0104,53.29,45.47,30.72,59.12,79.51,91.26,2026-06-17 21:00:00+08:00
66,DEV-0102,24.62,52.55,68.22,69.95,85.3,65.45,2026-06-09 14:00:00+08:00
67,DEV-0043,91.87,83.12,63.39,25.64,68.5,74.24,2026-06-01 09:00:00+08:00
68,DEV-0093,15.42,16.68,36.66,22.89,81.03,89.95,2026-06-15 06:00:00+08:00
