2024-01-01	4569
2024-01-02	5664
2024-01-03	5413
2024-01-04	4574
2024-01-05	5594
2024-01-06	3800
2024-01-07	6550
2024-01-08	5367
2024-01-09	5555
2024-01-10	5724
2024-01-11	4047
2024-01-12	5669
2024-01-13	7742
2024-01-14	7915
2024-01-15	5676
2024-01-16	3851
2024-01-17	4473
2024-01-18	4599
2024-01-19	4583
2024-01-20	7894
2024-01-21	7773
2024-01-22	5399
2024-01-23	3778
2024-01-24	5464
2024-01-25	3886
2024-01-26	2786
2024-01-27	7531
2024-01-28	7828
2024-01-29	4558
2024-01-30	5667
2024-01-31	3887
2024-02-01	2771
2024-02-02	5532
2024-02-03	5608
2024-02-04	7674
2024-02-05	2767
2024-02-06	5524
2024-02-07	5380
2024-02-08	4559
2024-02-09	4614
2024-02-10	7831
2024-02-11	7682
2024-02-12	4004
2024-02-13	5564
2024-02-14	5497
2024-02-15	5456
2024-02-16	4641
2024-02-17	6596
2024-02-18	7728
2024-02-19	5555
2024-02-20	5447
2024-02-21	4649
2024-02-22	5555
2024-02-23	5627
2024-02-24	7703
2024-02-25	6504
2024-02-26	4710
2024-02-27	4551
2024-02-28	5368
2024-02-29	4654
2024-03-01	8321
2024-03-02	11401
2024-03-03	11688
2024-03-04	6674
2024-03-05	8264
2024-03-06	6867
2024-03-07	7003
2024-03-08	8220
2024-03-09	11458
2024-03-10	9715
2024-03-11	8520
2024-03-12	8361
2024-03-13	5899
2024-03-14	8424
2024-03-15	8363
2024-03-16	11447
2024-03-17	11304
2024-03-18	8228
2024-03-19	7066
2024-03-20	4127
2024-03-21	8345
2024-03-22	8463
2024-03-23	11826
2024-03-24	9579
2024-03-25	6884
2024-03-26	8256
2024-03-27	7060
2024-03-28	6831
2024-03-29	4008
2024-03-30	9785
2024-03-31	11415
2024-04-01	8186
2024-04-02	6958
2024-04-03	7048
2024-04-04	8173
2024-04-05	4114
2024-04-06	8009
2024-04-07	11905
2024-04-08	8343
2024-04-09	8235
2024-04-10	4055
2024-04-11	7049
2024-04-12	6814
2024-04-13	11624
2024-04-14	11649
2024-04-15	6965
2024-04-16	5891
2024-04-17	4243
2024-04-18	5936
2024-04-19	8045
2024-04-20	11475
2024-04-21	9663
2024-04-22	8200
2024-04-23	6977
2024-04-24	5778
2024-04-25	6850
2024-04-26	6879
2024-04-27	11850
2024-04-28	11202
2024-04-29	5994
2024-04-30	6653
2024-05-01	7546
2024-05-02	14815
2024-05-03	12088
2024-05-04	12137
2024-05-05	15064
2024-05-06	6899
2024-05-07	6909
2024-05-08	8405
2024-05-09	7022
2024-05-10	8427
2024-05-11	8437
2024-05-12	10051
2024-05-13	8149
2024-05-14	8446
2024-05-15	8341
2024-05-16	8374
2024-05-17	8282
2024-05-18	9754
2024-05-19	11690
2024-05-20	7154
2024-05-21	4169
2024-05-22	5923
2024-05-23	4261
2024-05-24	6635
2024-05-25	9634
2024-05-26	9675
2024-05-27	8544
2024-05-28	7090
2024-05-29	6879
2024-05-30	8275
2024-05-31	8602
2024-06-01	11148
2024-06-02	13540
2024-06-03	6611
2024-06-04	6979
2024-06-05	7969
2024-06-06	6968
2024-06-07	4775
2024-06-08	9714
2024-06-09	9677
2024-06-10	8051
2024-06-11	8146
2024-06-12	7050
2024-06-13	9850
2024-06-14	9760
2024-06-15	11120
2024-06-16	11387
2024-06-17	8174
2024-06-18	9504
2024-06-19	8060
2024-06-20	9703
2024-06-21	9524
2024-06-22	6735
2024-06-23	11208
2024-06-24	8260
2024-06-25	9801
2024-06-26	8224
2024-06-27	6782
2024-06-28	9485
2024-06-29	11640
2024-06-30	13588
2024-07-01	7900
2024-07-02	6882
2024-07-03	8176
2024-07-04	9790
2024-07-05	4856
2024-07-06	9322
2024-07-07	13209
2024-07-08	7665
2024-07-09	8017
2024-07-10	8223
2024-07-11	8062
2024-07-12	7066
2024-07-13	10990
2024-07-14	9819
2024-07-15	7925
2024-07-16	9719
2024-07-17	7077
2024-07-18	6859
2024-07-19	6910
2024-07-20	6844
2024-07-21	14010
2024-07-22	6847
2024-07-23	8081
2024-07-24	6914
2024-07-25	9812
2024-07-26	6885
2024-07-27	11545
2024-07-28	10964
2024-07-29	9534
2024-07-30	9828
2024-07-31	6914
2024-08-01	9484
2024-08-02	9667
2024-08-03	11384
2024-08-04	11348
2024-08-05	7952
2024-08-06	9261
2024-08-07	9974
2024-08-08	8050
2024-08-09	7999
2024-08-10	13546
2024-08-11	9628
2024-08-12	9714
2024-08-13	9444
2024-08-14	9685
2024-08-15	8082
2024-08-16	9882
2024-08-17	13338
2024-08-18	9844
2024-08-19	9744
2024-08-20	9231
2024-08-21	8092
2024-08-22	9428
2024-08-23	9644
2024-08-24	13367
2024-08-25	9529
2024-08-26	9362
2024-08-27	8210
2024-08-28	9744
2024-08-29	8305
2024-08-30	8113
2024-08-31	9582
2024-09-01	12816
2024-09-02	8721
2024-09-03	8934
2024-09-04	9048
2024-09-05	7451
2024-09-06	6279
2024-09-07	12685
2024-09-08	12853
2024-09-09	9061
2024-09-10	9170
2024-09-11	6338
2024-09-12	8948
2024-09-13	7549
2024-09-14	10627
2024-09-15	9118
2024-09-16	9067
2024-09-17	8902
2024-09-18	8626
2024-09-19	6487
2024-09-20	6373
2024-09-21	12584
2024-09-22	12826
2024-09-23	8948
2024-09-24	4336
2024-09-25	7637
2024-09-26	7350
2024-09-27	4598
2024-09-28	9082
2024-09-29	9150
2024-09-30	6419
2024-10-01	15880
2024-10-02	13256
2024-10-03	16252
2024-10-04	16222
2024-10-05	13524
2024-10-06	16687
2024-10-07	11314
2024-10-08	6454
2024-10-09	9134
2024-10-10	8970
2024-10-11	7527
2024-10-12	6323
2024-10-13	8955
2024-10-14	7695
2024-10-15	9069
2024-10-16	7725
2024-10-17	4492
2024-10-18	9241
2024-10-19	8805
2024-10-20	12180
2024-10-21	7507
2024-10-22	7379
2024-10-23	8888
2024-10-24	7522
2024-10-25	8968
2024-10-26	12524
2024-10-27	6156
2024-10-28	8939
2024-10-29	7412
2024-10-30	7742
2024-10-31	8697
2024-11-01	9053
2024-11-02	6403
2024-11-03	12775
2024-11-04	9047
2024-11-05	8955
2024-11-06	8912
2024-11-07	9066
2024-11-08	7532
2024-11-09	13110
2024-11-10	10653
2024-11-11	6338
2024-11-12	6421
